primary_type,date,latitude,longitude,temperature,humidity,wind_speed
BATTERY,2025-03-07 18:16:00,41.730145605,-87.545284948,0.97,72,0.45
BATTERY,2025-03-07 18:14:00,41.701901554,-87.657835012,0.97,72,0.45
CRIMINAL TRESPASS,2025-03-07 18:12:00,41.870009847,-87.726399584,0.97,72,0.45
BATTERY,2025-03-07 18:11:00,41.793961228,-87.644290868,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 18:06:00,42.000348471,-87.692393691,0.97,72,0.45
CRIMINAL SEXUAL ASSAULT,2025-03-07 18:00:00,41.898436079,-87.76973442,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 18:00:00,41.886412671,-87.647495934,0.97,72,0.45
ASSAULT,2025-03-07 18:00:00,42.012523216,-87.680974794,0.97,72,0.45
THEFT,2025-03-07 17:56:00,41.859904488,-87.726208818,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 17:56:00,41.875136633,-87.735919821,0.97,72,0.45
OTHER OFFENSE,2025-03-07 17:52:00,41.865568567,-87.709300466,0.97,72,0.45
BATTERY,2025-03-07 17:51:00,41.811193453,-87.694290206,0.97,72,0.45
ROBBERY,2025-03-07 17:50:00,41.712310931,-87.605282405,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 17:50:00,41.78260047,-87.70368551,0.97,72,0.45
THEFT,2025-03-07 17:43:00,41.706204287,-87.699685293,0.97,72,0.45
BATTERY,2025-03-07 17:40:00,41.784399043,-87.663126037,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 17:37:00,41.845386764,-87.642109821,0.97,72,0.45
THEFT,2025-03-07 17:34:00,41.963070794,-87.655984213,0.97,72,0.45
ROBBERY,2025-03-07 17:31:00,41.795991039,-87.630542489,0.97,72,0.45
BATTERY,2025-03-07 17:30:00,41.843922218,-87.6269207,0.97,72,0.45
ASSAULT,2025-03-07 17:30:00,41.74967273,-87.702391276,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 17:29:00,41.919718041,-87.742518537,0.97,72,0.45
BATTERY,2025-03-07 17:25:00,41.844377423,-87.715396861,0.97,72,0.45
THEFT,2025-03-07 17:24:00,41.994019837,-87.713281946,0.97,72,0.45
ASSAULT,2025-03-07 17:20:00,41.830530933,-87.610277459,0.97,72,0.45
BATTERY,2025-03-07 17:20:00,41.895558372,-87.705897593,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 17:20:00,41.885888079,-87.627942238,0.97,72,0.45
THEFT,2025-03-07 17:17:00,41.930906002,-87.644017035,0.97,72,0.45
THEFT,2025-03-07 17:16:00,41.758331912,-87.653941271,0.97,72,0.45
CRIMINAL TRESPASS,2025-03-07 17:10:00,41.962997708,-87.654760597,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 17:10:00,41.853004763,-87.618782294,0.97,72,0.45
THEFT,2025-03-07 17:10:00,41.881722193,-87.624356274,0.97,72,0.45
BATTERY,2025-03-07 17:08:00,41.77255742,-87.574023883,0.97,72,0.45
INTERFERENCE WITH PUBLIC OFFICER,2025-03-07 17:02:00,41.885720867,-87.74703679,0.97,72,0.45
THEFT,2025-03-07 17:01:00,41.975370278,-87.744023432,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 17:01:00,41.790439233,-87.615872939,0.97,72,0.45
BATTERY,2025-03-07 17:00:00,41.891948167,-87.628073894,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 17:00:00,41.925886611,-87.678679535,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 17:00:00,41.90269612,-87.673579053,0.97,72,0.45
THEFT,2025-03-07 17:00:00,41.859818912,-87.718889785,0.97,72,0.45
ROBBERY,2025-03-07 17:00:00,41.881086082,-87.695096188,0.97,72,0.45
THEFT,2025-03-07 17:00:00,41.890540948,-87.645817429,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 17:00:00,41.795295798,-87.706740771,0.97,72,0.45
ASSAULT,2025-03-07 17:00:00,41.839046639,-87.632904623,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 16:57:00,41.852023717,-87.686627405,0.97,72,0.45
ROBBERY,2025-03-07 16:49:00,41.758285829,-87.56393345,0.97,72,0.45
BATTERY,2025-03-07 16:44:00,41.729750347,-87.662888405,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 16:43:00,41.8567346,-87.67725623,0.97,72,0.45
OTHER OFFENSE,2025-03-07 16:40:00,41.861440662,-87.736036312,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 16:40:00,41.936706844,-87.72711644,0.97,72,0.45
THEFT,2025-03-07 16:40:00,41.877822179,-87.655181405,0.97,72,0.45
BATTERY,2025-03-07 16:35:00,41.781099015,-87.64846533,0.97,72,0.45
OTHER OFFENSE,2025-03-07 16:34:00,41.978567689,-87.697308633,0.97,72,0.45
NARCOTICS,2025-03-07 16:31:00,41.870140733,-87.697338234,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 16:30:00,41.968408072,-87.712747145,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 16:30:00,41.703741809,-87.53286726,0.97,72,0.45
BATTERY,2025-03-07 16:30:00,41.874606771,-87.688683639,0.97,72,0.45
OTHER OFFENSE,2025-03-07 16:30:00,41.956295136,-87.724019073,0.97,72,0.45
THEFT,2025-03-07 16:30:00,41.895548745,-87.637543608,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 16:30:00,41.845691143,-87.620078491,0.97,72,0.45
THEFT,2025-03-07 16:27:00,41.938803166,-87.644358344,0.97,72,0.45
THEFT,2025-03-07 16:25:00,41.810707298,-87.603919835,0.97,72,0.45
OTHER OFFENSE,2025-03-07 16:24:00,41.979204912,-87.842203421,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 16:15:00,41.925246375,-87.661433463,0.97,72,0.45
CRIMINAL TRESPASS,2025-03-07 16:14:00,41.78211045,-87.612823613,0.97,72,0.45
BATTERY,2025-03-07 16:13:00,41.954233907,-87.723957827,0.97,72,0.45
THEFT,2025-03-07 16:12:00,41.772540956,-87.574024077,0.97,72,0.45
BATTERY,2025-03-07 16:10:00,41.932730353,-87.708664607,0.97,72,0.45
BURGLARY,2025-03-07 16:07:00,41.833268429,-87.672949527,0.97,72,0.45
BATTERY,2025-03-07 16:00:00,41.86924633,-87.626943015,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 16:00:00,41.882446221,-87.627847897,0.97,72,0.45
THEFT,2025-03-07 16:00:00,41.925645865,-87.678329225,0.97,72,0.45
BATTERY,2025-03-07 16:00:00,41.7937201,-87.692230505,0.97,72,0.45
BURGLARY,2025-03-07 16:00:00,41.726217231,-87.567419012,0.97,72,0.45
THEFT,2025-03-07 16:00:00,41.925246375,-87.661433463,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 16:00:00,41.854060901,-87.672331914,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 16:00:00,41.772864893,-87.621179176,0.97,72,0.45
THEFT,2025-03-07 16:00:00,41.976182125,-87.876421145,0.97,72,0.45
BATTERY,2025-03-07 16:00:00,41.898119097,-87.717622858,0.97,72,0.45
THEFT,2025-03-07 16:00:00,41.878062394,-87.743427474,0.97,72,0.45
THEFT,2025-03-07 15:59:00,41.921904892,-87.642636783,0.97,72,0.45
THEFT,2025-03-07 15:55:00,41.911675961,-87.634726954,0.97,72,0.45
BATTERY,2025-03-07 15:54:00,41.779059693,-87.615596501,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 15:54:00,41.882364871,-87.626222,0.97,72,0.45
OTHER OFFENSE,2025-03-07 15:50:00,41.765254159,-87.641255151,0.97,72,0.45
NARCOTICS,2025-03-07 15:50:00,41.738484259,-87.603246452,0.97,72,0.45
THEFT,2025-03-07 15:49:00,41.772907566,-87.683470834,0.97,72,0.45
THEFT,2025-03-07 15:49:00,41.79473381,-87.620244031,0.97,72,0.45
OTHER OFFENSE,2025-03-07 15:45:00,41.881847601,-87.641772074,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 15:41:00,41.768636896,-87.658154442,0.97,72,0.45
BATTERY,2025-03-07 15:40:00,42.019870961,-87.673090474,0.97,72,0.45
THEFT,2025-03-07 15:37:00,41.772907566,-87.683470834,0.97,72,0.45
THEFT,2025-03-07 15:35:00,41.969090767,-87.728052386,0.97,72,0.45
THEFT,2025-03-07 15:34:00,41.879235852,-87.624347038,0.97,72,0.45
THEFT,2025-03-07 15:32:00,41.963070794,-87.655984213,0.97,72,0.45
ASSAULT,2025-03-07 15:30:00,41.745572921,-87.692508179,0.97,72,0.45
ASSAULT,2025-03-07 15:30:00,41.776964275,-87.683583862,0.97,72,0.45
BATTERY,2025-03-07 15:30:00,41.878406274,-87.647254743,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 15:30:00,41.893183866,-87.634487765,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 15:30:00,41.963128378,-87.690336461,0.97,72,0.45
THEFT,2025-03-07 15:30:00,41.972900877,-87.659774452,0.97,72,0.45
THEFT,2025-03-07 15:30:00,41.91342252,-87.663016067,0.97,72,0.45
OTHER OFFENSE,2025-03-07 15:30:00,41.892213756,-87.751895283,0.97,72,0.45
THEFT,2025-03-07 15:28:00,41.906600961,-87.65054206,0.97,72,0.45
THEFT,2025-03-07 15:25:00,41.896065069,-87.625486884,0.97,72,0.45
ASSAULT,2025-03-07 15:20:00,42.001822361,-87.689987495,0.97,72,0.45
NARCOTICS,2025-03-07 15:20:00,41.831881927,-87.616977126,0.97,72,0.45
ROBBERY,2025-03-07 15:19:00,41.777410704,-87.731273331,0.97,72,0.45
THEFT,2025-03-07 15:19:00,41.953439027,-87.746258499,0.97,72,0.45
THEFT,2025-03-07 15:19:00,41.920242275,-87.687496983,0.97,72,0.45
ROBBERY,2025-03-07 15:15:00,41.871417325,-87.680315079,0.97,72,0.45
THEFT,2025-03-07 15:15:00,41.910620259,-87.705672961,0.97,72,0.45
BATTERY,2025-03-07 15:12:00,41.878633536,-87.725598276,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 15:10:00,41.746545819,-87.6439223,0.97,72,0.45
BATTERY,2025-03-07 15:10:00,41.767524072,-87.674459981,0.97,72,0.45
BATTERY,2025-03-07 15:06:00,41.742647825,-87.651098285,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 15:05:00,41.78077994,-87.661821815,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 15:04:00,41.856083523,-87.627164967,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 15:00:00,41.758332988,-87.619272728,0.97,72,0.45
ASSAULT,2025-03-07 15:00:00,41.695850199,-87.609147971,0.97,72,0.45
THEFT,2025-03-07 15:00:00,41.974258856,-87.724561315,0.97,72,0.45
THEFT,2025-03-07 15:00:00,,,0.97,72,0.45
THEFT,2025-03-07 15:00:00,41.892509386,-87.626069718,0.97,72,0.45
THEFT,2025-03-07 15:00:00,41.886795916,-87.64779665,0.97,72,0.45
THEFT,2025-03-07 15:00:00,,,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 14:57:00,41.862866691,-87.714088165,0.97,72,0.45
OTHER OFFENSE,2025-03-07 14:54:00,41.867436641,-87.62540628,0.97,72,0.45
THEFT,2025-03-07 14:53:00,41.88171846,-87.627760426,0.97,72,0.45
ASSAULT,2025-03-07 14:45:00,41.880655171,-87.731685867,0.97,72,0.45
ASSAULT,2025-03-07 14:45:00,41.819192605,-87.626752323,0.97,72,0.45
OTHER OFFENSE,2025-03-07 14:45:00,41.708280992,-87.642870023,0.97,72,0.45
THEFT,2025-03-07 14:45:00,41.97443857,-87.81119077,0.97,72,0.45
THEFT,2025-03-07 14:40:00,,,0.97,72,0.45
ASSAULT,2025-03-07 14:35:00,41.816229907,-87.606696541,0.97,72,0.45
ROBBERY,2025-03-07 14:33:00,41.931761455,-87.746604326,0.97,72,0.45
THEFT,2025-03-07 14:30:00,41.872945426,-87.629153024,0.97,72,0.45
THEFT,2025-03-07 14:30:00,41.90800034,-87.774345287,0.97,72,0.45
OFFENSE INVOLVING CHILDREN,2025-03-07 14:30:00,41.704026818,-87.618555581,0.97,72,0.45
THEFT,2025-03-07 14:30:00,41.86331852,-87.664960391,0.97,72,0.45
ASSAULT,2025-03-07 14:30:00,41.968763818,-87.688661831,0.97,72,0.45
BATTERY,2025-03-07 14:20:00,41.875820724,-87.647175913,0.97,72,0.45
BATTERY,2025-03-07 14:17:00,41.885326396,-87.633919718,0.97,72,0.45
OTHER OFFENSE,2025-03-07 14:16:00,41.802855321,-87.606422225,0.97,72,0.45
THEFT,2025-03-07 14:15:00,41.808384413,-87.618126623,0.97,72,0.45
OTHER OFFENSE,2025-03-07 14:12:00,41.905672388,-87.69078474,0.97,72,0.45
OTHER OFFENSE,2025-03-07 14:10:00,41.877654733,-87.747958745,0.97,72,0.45
THEFT,2025-03-07 14:06:00,41.810693516,-87.683929054,0.97,72,0.45
NARCOTICS,2025-03-07 14:05:00,42.019385566,-87.673147017,0.97,72,0.45
THEFT,2025-03-07 14:05:00,41.880775433,-87.627029031,0.97,72,0.45
ASSAULT,2025-03-07 14:05:00,41.996799723,-87.891949092,0.97,72,0.45
BATTERY,2025-03-07 14:00:00,41.885753511,-87.627032961,0.97,72,0.45
THEFT,2025-03-07 14:00:00,41.97855782,-87.836588785,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 14:00:00,41.867293733,-87.711651717,0.97,72,0.45
THEFT,2025-03-07 14:00:00,41.891372662,-87.74677209,0.97,72,0.45
THEFT,2025-03-07 14:00:00,41.877981539,-87.644608125,0.97,72,0.45
ASSAULT,2025-03-07 13:57:00,41.979280568,-87.898381198,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 13:53:00,41.931253384,-87.806511995,0.97,72,0.45
NARCOTICS,2025-03-07 13:53:00,41.930364,-87.726937627,0.97,72,0.45
